Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
159, 103, 62, 25, 60, 5, 51
160, 120, 89, 57, 87, 5, 51
161, 119, 92, 59, 87, 5, 51
162, 138, 114, 88, 113, 5, 51
163, 103, 92, 76, 91, 5, 51
164, 77, 46, 15, 45, 5, 51
165, 120, 106, 84, 105, 5, 51
166, 61, 43, 17, 42, 5, 51
167, 114, 78, 50, 75, 5, 51
168, 50, 13, 2, 11, 5, 51
169, 110, 64, 16, 63, 5, 51
170, 76, 46, 21, 45, 5, 51
171, 129, 101, 70, 100, 5, 51
172, 99, 39, 13, 38, 5, 51
173, 94, 38, 18, 36, 5, 51
174, 77, 44, 14, 42, 5, 51
175, 61, 22, 5, 20, 5, 51
176, 89, 53, 10, 52, 5, 51
177, 66, 29, 3, 24, 5, 51
178, 42, 31, 13, 30, 5, 51
179, 75, 55, 26, 54, 5, 51
180, 95, 78, 34, 77, 5, 51
181, 139, 111, 45, 110, 5, 51
182, 61, 15, 3, 13, 5, 51
183, 40, 19, 5, 18, 5, 51
184, 39, 11, 2, 9, 5, 51
185, 93, 51, 13, 49, 5, 51
186, 70, 21, 2, 16, 5, 51
187, 63, 7, 1, 5, 5, 51
188, 102, 53, 12, 52, 5, 51
189, 116, 84, 44, 83, 5, 51
190, 94, 28, 5, 26, 5, 51
191, 142, 103, 47, 102, 5, 51
192, 80, 11, 1, 6, 5, 51
193, 153, 117, 59, 115, 5, 51
194, 98, 58, 14, 53, 5, 51
195, 131, 89, 52, 88, 5, 51
196, 112, 62, 29, 60, 5, 51
197, 134, 93, 66, 92, 5, 51
198, 152, 129, 81, 127, 5, 51
199, 82, 51, 10, 49, 5, 51
200, 171, 144, 115, 143, 5, 51
201, 173, 141, 88, 139, 5, 51
202, 68, 23, 7, 21, 5, 51
203, 103, 58, 12, 53, 5, 51
204, 165, 133, 75, 131, 5, 51
205, 63, 25, 4, 20, 5, 51
206, 154, 103, 53, 100, 5, 51
207, 152, 101, 39, 98, 5, 51
208, 173, 131, 51, 129, 5, 51
209, 33, 13, 4, 11, 5, 51
210, 42, 5, 0, 0, 5, 51
211, 43, 9, 1, 6, 5, 51
212, 123, 81, 56, 79, 5, 51
213, 110, 47, 9, 46, 5, 51
214, 169, 116, 69, 113, 5, 51
215, 75, 22, 6, 20, 5, 51
216, 62, 17, 3, 12, 5, 51
217, 60, 30, 5, 28, 5, 51
218, 69, 24, 6, 22, 5, 51
219, 133, 64, 13, 62, 5, 51
220, 56, 10, 1, 6, 5, 51
221, 132, 74, 15, 72, 5, 51
222, 98, 34, 9, 33, 5, 51
223, 58, 15, 4, 13, 5, 51
224, 115, 43, 13, 42, 5, 51
