Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
159, 2, 2, 0, 0, 2, 1
160, 2, 2, 0, 0, 2, 1
161, 2, 2, 0, 0, 2, 1
162, 2, 2, 0, 0, 2, 1
163, 2, 2, 0, 0, 2, 1
164, 2, 2, 0, 0, 2, 1
165, 3, 2, 0, 0, 2, 1
166, 2, 2, 0, 0, 2, 1
167, 2, 2, 0, 0, 2, 1
168, 2, 2, 0, 0, 2, 1
169, 2, 2, 0, 0, 2, 1
170, 2, 2, 0, 0, 2, 1
171, 2, 2, 0, 0, 2, 1
172, 2, 2, 0, 0, 2, 1
173, 2, 2, 0, 0, 2, 1
174, 2, 2, 0, 0, 2, 1
175, 2, 2, 0, 0, 2, 1
176, 2, 2, 0, 0, 2, 1
177, 2, 2, 0, 0, 2, 1
178, 2, 2, 0, 0, 2, 1
179, 2, 2, 0, 0, 2, 1
180, 2, 2, 0, 0, 2, 1
181, 2, 2, 0, 0, 2, 1
182, 2, 2, 0, 0, 2, 1
183, 2, 2, 0, 0, 2, 1
184, 2, 2, 0, 0, 2, 1
185, 2, 2, 0, 0, 2, 1
186, 2, 2, 0, 0, 2, 1
187, 2, 2, 0, 0, 2, 1
188, 2, 2, 0, 0, 2, 1
189, 20, 3, 0, 0, 3, 19
190, 22, 16, 11, 13, 5, 21
191, 22, 5, 0, 0, 5, 21
192, 22, 14, 8, 10, 5, 21
193, 22, 5, 0, 0, 5, 21
194, 22, 5, 0, 0, 5, 21
195, 23, 5, 0, 0, 5, 21
196, 24, 15, 5, 12, 5, 21
197, 25, 5, 0, 0, 5, 21
198, 25, 5, 0, 0, 5, 21
199, 26, 9, 4, 8, 5, 21
200, 28, 13, 2, 9, 5, 21
201, 25, 5, 0, 0, 5, 21
202, 25, 5, 0, 0, 5, 21
203, 25, 5, 0, 0, 5, 21
204, 25, 5, 0, 0, 5, 21
205, 33, 15, 2, 12, 5, 21
206, 27, 7, 1, 6, 3, 21
207, 2, 2, 0, 0, 2, 1
208, 2, 2, 0, 0, 2, 1
209, 2, 2, 0, 0, 2, 1
210, 2, 2, 0, 0, 2, 1
211, 2, 2, 0, 0, 2, 1
212, 2, 2, 0, 0, 2, 1
213, 2, 2, 0, 0, 2, 1
214, 2, 2, 0, 0, 2, 1
215, 2, 2, 0, 0, 2, 1
216, 2, 2, 0, 0, 2, 1
217, 2, 2, 0, 0, 2, 1
218, 2, 2, 0, 0, 2, 1
219, 2, 2, 0, 0, 2, 1
220, 2, 2, 0, 0, 2, 1
221, 2, 2, 0, 0, 2, 1
222, 2, 2, 0, 0, 2, 1
223, 2, 2, 0, 0, 2, 1
224, 43, 4, 0, 0, 4, 39
225, 26, 15, 7, 10, 8, 41
226, 23, 11, 3, 5, 6, 41
227, 24, 8, 1, 3, 5, 21
228, 25, 8, 1, 3, 5, 21
229, 25, 8, 1, 3, 5, 21
230, 25, 5, 0, 0, 5, 21
231, 25, 7, 2, 4, 3, 21
232, 2, 2, 0, 0, 2, 1
233, 2, 2, 0, 0, 2, 1
234, 2, 2, 0, 0, 2, 1
235, 2, 2, 0, 0, 2, 1
236, 2, 2, 0, 0, 2, 1
237, 2, 2, 0, 0, 2, 1
238, 2, 2, 0, 0, 2, 1
239, 2, 2, 0, 0, 2, 1
240, 2, 2, 0, 0, 2, 1
241, 2, 2, 0, 0, 2, 1
242, 2, 2, 0, 0, 2, 1
243, 2, 2, 0, 0, 2, 1
244, 2, 2, 0, 0, 2, 1
245, 2, 2, 0, 0, 2, 1
246, 2, 2, 0, 0, 2, 1
247, 2, 2, 0, 0, 2, 1
248, 2, 2, 0, 0, 2, 1
249, 43, 4, 0, 0, 4, 39
250, 45, 23, 15, 18, 8, 41
251, 45, 6, 0, 0, 6, 41
252, 46, 20, 9, 19, 5, 21
253, 22, 16, 6, 12, 5, 21
254, 22, 7, 2, 4, 5, 21
255, 23, 5, 0, 0, 5, 21
256, 6, 3, 0, 0, 3, 21
257, 25, 7, 1, 6, 2, 1
258, 2, 2, 0, 0, 2, 1
259, 42, 4, 0, 0, 4, 79
260, 72, 48, 33, 43, 8, 81
261, 44, 4, 0, 0, 4, 81
262, 2, 2, 0, 0, 2, 1
263, 2, 2, 0, 0, 2, 1
264, 2, 2, 0, 0, 2, 1
265, 2, 2, 0, 0, 2, 1
266, 2, 2, 0, 0, 2, 1
267, 2, 2, 0, 0, 2, 1
268, 2, 2, 0, 0, 2, 1
269, 2, 2, 0, 0, 2, 1
270, 2, 2, 0, 0, 2, 1
271, 2, 2, 0, 0, 2, 1
272, 2, 2, 0, 0, 2, 1
273, 2, 2, 0, 0, 2, 1
274, 2, 2, 0, 0, 2, 1
275, 2, 2, 0, 0, 2, 1
276, 2, 2, 0, 0, 2, 1
277, 2, 2, 0, 0, 2, 1
278, 2, 2, 0, 0, 2, 1
279, 2, 2, 0, 0, 2, 1
280, 2, 2, 0, 0, 2, 1
281, 2, 2, 0, 0, 2, 1
282, 2, 2, 0, 0, 2, 1
283, 2, 2, 0, 0, 2, 1
284, 20, 3, 0, 0, 3, 19
285, 22, 16, 11, 13, 5, 21
286, 23, 7, 1, 5, 5, 21
287, 23, 5, 0, 0, 5, 21
288, 23, 13, 7, 9, 5, 21
